ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
123.8468993,-38.9898423,08h15m23.26s,-38d59m23.43s,0.0376,0.0422,-0.0111,11.214,0.019,56.4,7.700,10.831,0.025,43.8,3.164,1,0,0000,AA,5,58437.15956365,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.518817,257.048576
123.8468980,-38.9898383,08h15m23.26s,-38d59m23.42s,0.0409,0.0454,-0.0123,11.350,0.021,50.9,6.951,10.977,0.024,45.0,2.585,1,0,0000,AA,5,58226.66038690,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.519354,258.686965
123.8468945,-38.9898197,08h15m23.25s,-38d59m23.35s,0.0429,0.0433,0.0044,11.243,0.022,50.1,5.680,10.865,0.022,49.2,1.738,1,0,0000,AA,10,58957.88597951,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.520226,266.151088
123.8469050,-38.9898588,08h15m23.26s,-38d59m23.49s,0.0369,0.0374,0.0055,11.262,0.018,61.6,16.920,10.953,0.021,51.5,3.108,1,0,0000,AA,5,58436.37477951,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.520235,250.263453
123.8469004,-38.9898487,08h15m23.26s,-38d59m23.46s,0.0389,0.0442,-0.0069,11.433,0.020,55.1,12.690,11.238,0.024,44.4,3.695,1,0,0000,AA,5,59532.52388148,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.521496,254.504994
123.8469006,-38.9898495,08h15m23.26s,-38d59m23.46s,0.0412,0.0412,0.0016,11.265,0.020,53.9,12.660,10.920,0.022,48.6,3.218,1,0,0000,AA,5,58436.30932720,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.521741,254.183795
123.8468950,-38.9898314,08h15m23.25s,-38d59m23.39s,0.0382,0.0472,-0.0008,11.295,0.022,49.1,15.480,10.980,0.023,47.5,3.482,1,0,0000,AA,5,58232.61509691,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.523359,261.535008
123.8468989,-38.9898552,08h15m23.26s,-38d59m23.48s,0.0364,0.0425,0.0073,11.301,0.020,53.4,12.850,10.974,0.022,48.4,1.685,1,0,0000,AA,10,58226.79129050,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.532227,252.197555
123.8468935,-38.9898397,08h15m23.25s,-38d59m23.42s,0.0376,0.0417,-0.0086,11.251,0.018,61.3,10.420,10.925,0.025,43.2,2.319,1,0,0000,AA,10,58958.21298318,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.532689,258.421076
123.8468930,-38.9898379,08h15m23.25s,-38d59m23.42s,0.0361,0.0379,-0.0080,11.261,0.018,61.9,9.692,10.897,0.023,46.9,2.724,1,0,0000,AA,5,58958.08220716,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.532804,259.133948
123.8468987,-38.9898565,08h15m23.26s,-38d59m23.48s,0.0381,0.0354,-0.0125,11.256,0.018,61.4,14.130,10.948,0.024,45.5,2.817,1,0,0000,AA,10,58958.60543902,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.534203,251.737987
123.8468927,-38.9898455,08h15m23.25s,-38d59m23.44s,0.0376,0.0402,-0.0084,11.227,0.018,61.9,10.230,10.956,0.024,44.7,3.218,1,0,0000,AA,5,58436.63658644,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.539447,256.295731
