#Data from LCO Program DDT2021B-003
#PI S. Ertel
#Time in MJD
#Colours and uncertainties in Magnitudes
#Filters SDSS gp,rp,ip
Time,mg,ug,mr,ur,mi,ui,mz,uz,g-r,Err g-r,r-i,Err r-i,g-z,Err g-z,r-z,Err r-z
59541.3549319,16.031698210845647,0.013651665530898407,14.503272107051059,0.0047536572853556945,13.929907841080258,0.003280778258545085,13.666677232374484,0.002823780971815868,1.5284261037945885,0.014455629676846837,0.5733642659708007,0.005775877731423805,2.365020978471163,0.013940649581146105,0.8365948746765746,0.005529104499229928
59541.9205676,15.921442048969872,0.026920245514771617,14.494207494446401,0.00890698399174004,13.905291576693111,0.0064418882415065385,13.69269172503818,0.005663291054146415,1.427234554523471,0.028355492984688077,0.5889159177532903,0.01099237408138813,2.228750323931692,0.027509498071385384,0.8015157694082209,0.010554962311305907
59542.2196207,15.633680296331114,0.00984383236013511,14.26837816283698,0.004495783173208193,13.75025026145154,0.0033513420892352054,13.666449787488736,0.0027682713760938324,1.3653021334941347,0.010821880699533935,0.518127901385439,0.0056074557634974995,1.9672305088423787,0.010225671711244382,0.6019283753482441,0.00527971521506628
59542.2870219,15.65045423192831,0.00858238070973849,14.265883615449285,0.00402170664285302,13.779846025468425,0.002874722966370195,13.58084525492558,0.002595888832364129,1.3845706164790244,0.009477941916263227,0.4860375899808602,0.004943496379541949,2.06960897700273,0.00896637593885535,0.6850383605237056,0.004786727812520878
59542.3470697,15.666301740538232,0.008349390352228389,14.259141478242865,0.003966244586043699,13.758275192085561,0.002938764035042065,13.585484242669034,0.0025988855294739274,1.407160262295367,0.00924356075169117,0.5008662861573043,0.004936337728516726,2.080817497869198,0.008744514008748198,0.6736572355738311,0.004741866943686835
59542.9451861,16.203610219936763,0.022799946358481437,14.6239600518408,0.006974541849309035,14.027963085050434,0.005111179858629837,-99.0,-99.0,1.579650168095963,0.023842856119965873,0.5959969667903664,0.008646871894218535,-99.0,-99.0,-99.0,-99.0
59545.3028347,15.076598787347613,0.004868529864584543,14.007389783443777,0.003245118131174134,13.641769985375799,0.002622591874201729,-99.0,-99.0,1.0692090039038362,0.005850929390073571,0.3656197980679785,0.004172382991038099,-99.0,-99.0,-99.0,-99.0
#59548.0958903,15.621475095449046,0.009751353664537877,14.295334270146592,0.004529703253528821,9.021628756575016,0.004913929589364456,-99.0,-99.0,1.3261408253024545,0.010752074676820557,5.273705513571576,0.006683181545810431,-99.0,-99.0,-99.0,-99.0
59549.936523,15.2629538593986,0.008180537296895938,14.124235807430386,0.0044357582215500185,13.68896769032319,0.00369402923311671,-99.0,-99.0,1.1387180519682136,0.009305758511048635,0.4352681171071957,0.005772504047219839,-99.0,-99.0,-99.0,-99.0
59551.0043487,15.603526414875839,0.01158345222818898,14.271386051384658,0.005315589196661144,13.782475268977574,0.00431661407279937,-99.0,-99.0,1.332140363491181,0.012744875598859208,0.48891078240708374,0.00684752842718818,-99.0,-99.0,-99.0,-99.0
59552.1789044,15.153740162451971,0.005104749185527523,13.998714810022916,0.0032526864767677753,13.566421604687662,0.002729219754699886,-99.0,-99.0,1.155025352429055,0.006052968987471509,0.43229320533525417,0.004246011043979051,-99.0,-99.0,-99.0,-99.0
59553.1748991,14.873958442193132,0.004272498409790133,13.845302921231182,0.002965743999791654,13.509518652743445,0.002467329039097762,-99.0,-99.0,1.0286555209619497,0.005200949926115364,0.33578426848773724,0.0038578945111906937,-99.0,-99.0,-99.0,-99.0
59554.1778742,14.513053635915563,0.004582420903380384,13.687798131507812,0.002997358961496543,13.410391121981792,0.0028300141898966865,-99.0,-99.0,0.8252555044077514,0.005475649923050333,0.27740700952601927,0.004122273772941365,-99.0,-99.0,-99.0,-99.0
59555.2190664,14.649931966561006,0.004519999777433169,13.759146362540282,0.0028454597656306555,13.453286590195026,0.0024157953087234774,-99.0,-99.0,0.8907856040207243,0.005341070984907312,0.3058597723452561,0.0037326543171680424,-99.0,-99.0,-99.0,-99.0
59556.1775435,14.387861697710859,0.0033633808031910076,13.638450908793468,0.002715131831375561,13.370676261444249,0.002467130871679674,-99.0,-99.0,0.7494107889173911,0.004322530657962138,0.26777464734921885,0.003668606765482465,-99.0,-99.0,-99.0,-99.0
59557.2127393,14.36396375728632,0.0031451026859913266,13.597223553194713,0.002589602481601911,13.372932919963747,0.0022417010849636603,-99.0,-99.0,0.766740204091608,0.004074028954014519,0.2242906332309662,0.003425093395375669,-99.0,-99.0,-99.0,-99.0
59558.1878281,14.738397284822426,0.004009547926261731,13.80695706245016,0.002915791705734883,13.47820792592331,0.0023851857545588,-99.0,-99.0,0.9314402223722666,0.0049576522512397025,0.3287491365268487,0.003767088047150288,-99.0,-99.0,-99.0,-99.0
59559.8844565,14.335338340098675,0.004493158566106153,13.592941073489893,0.003178359297054116,13.367093869053079,0.002780440459290233,-99.0,-99.0,0.7423972666087817,0.005503675292142828,0.22584720443681405,0.004222892014819751,-99.0,-99.0,-99.0,-99.0
59562.1373428,14.261488181868483,0.004598114532497774,13.58834007722489,0.0029577963765093102,13.33001422149957,0.002669426200188506,-99.0,-99.0,0.6731481046435928,0.005467286041433979,0.25832585572532096,0.003984268520462,-99.0,-99.0,-99.0,-99.0
59563.8735822,14.356141334680316,0.005758066038272495,13.622510359154477,0.003604679247780356,13.388601782680281,0.00299318878906581,-99.0,-99.0,0.7336309755258394,0.006793308250071202,0.23390857647419594,0.004685391297038872,-99.0,-99.0,-99.0,-99.0
59565.8712681,14.52127143804164,0.010978020015736731,13.708215894520272,0.005453333517067328,13.426798542761228,0.004314641237264748,-99.0,-99.0,0.8130555435213687,0.012257886029584636,0.28141735175904437,0.006953774187782875,-99.0,-99.0,-99.0,-99.0
59568.0188784,14.320760344232644,0.005531252630973729,13.613537829740386,0.0034835427135084013,13.401942423691887,0.002941195495141064,-99.0,-99.0,0.7072225144922584,0.006536805451020497,0.2115954060484988,0.004559133774904567,-99.0,-99.0,-99.0,-99.0
59569.0662841,14.308491350772561,0.0066583595245188676,13.6299892086585,0.0038943760044762707,13.387699002543677,0.0032128445192559827,-99.0,-99.0,0.6785021421140609,0.0077136188667830665,0.24229020611482355,0.005048617074918018,-99.0,-99.0,-99.0,-99.0
59570.1269883,14.27577089022405,0.006462529147310226,13.588064623673061,0.0038256291390595864,13.346509432348412,0.00327769246399214,-99.0,-99.0,0.6877062665509897,0.007509974786206412,0.24155519132464853,0.005037728277520797,-99.0,-99.0,-99.0,-99.0
59572.1098472,14.663423167397296,0.00403043339421543,13.804267120714895,0.002963243117115854,13.498028427057367,0.0025000970451071877,-99.0,-99.0,0.8591560466824006,0.005002519676757043,0.3062386936575283,0.0038770214090314455,-99.0,-99.0,-99.0,-99.0
59572.5871965,14.94632711223193,0.0059499779274717205,13.971948544321728,0.0035778063607761683,13.60047181493809,0.0031226278649482625,-99.0,-99.0,0.9743785679102022,0.006942833405218008,0.3714767293836392,0.004748842294513659,-99.0,-99.0,-99.0,-99.0
59573.4778905,15.401250762353428,0.01131101023201088,14.22022608821621,0.006471014460297269,13.776937946250872,0.005065493838817017,13.62415156768309,0.005273569073711768,1.181024674137218,0.013031230970788262,0.44328814196533806,0.008217862007631273,1.7770991946703383,0.012479963270934095,0.5960745205331204,0.008347727769913531
59573.61612,15.288877846168583,0.005889766000179426,14.121471093483796,0.003470744795894451,13.69479117541799,0.0029026519154966178,13.552833144194928,0.00258808877351433,1.167406752684787,0.006836330373460456,0.4266799180658065,0.004524539488253429,1.7360447019736558,0.006433315400045335,0.5686379492888687,0.004329465664238408
59573.897032,15.17692343437229,0.006993436081145643,14.068347811919239,0.004176881845779032,13.67642144835172,0.0035986929451881002,13.63832309788113,0.0038726921396877965,1.108575622453051,0.008145826549507925,0.391926363567519,0.0055133413523329984,1.5386003364911591,0.007994116125618227,0.43002471403810816,0.005695971064041503
59573.8984694,15.119962388592658,0.007461635905183423,14.061599864291527,0.004548624330801678,13.687022797259175,0.005807256669558849,-99.0,-99.0,1.0583625243011312,0.008738763853330942,0.3745770670323516,0.007376599035388649,-99.0,-99.0,-99.0,-99.0
59574.0989228,15.085251133771376,0.008432313774955227,14.070927889856435,0.004617220711815753,13.696857238310253,0.004056741601878735,-99.0,-99.0,1.0143232439149408,0.00961366957518928,0.374070651546182,0.00614620854885628,-99.0,-99.0,-99.0,-99.0
59574.1233237,15.034710200558457,0.007860230261919248,14.066660157979385,0.009490212276894104,13.608920915154744,0.009093169319333775,13.685884617649688,0.006010013262916274,0.9680500425790726,0.012322635628423926,0.4577392428246405,0.013143434000693451,1.3488255829087699,0.009894618698606866,0.3807755403296973,0.01123318247341069
59574.6159717,14.890949441130655,0.013577568835991096,13.93294194264145,0.010390783413878184,13.613025081727518,0.016559196446656977,13.466015276437908,0.030247324299454363,0.958007498489204,0.017097331822544786,0.3199168609139331,0.01954930604684225,1.424934164692747,0.03315495442271696,0.46692666620354295,0.031982323355730244
59576.1114988,14.922553159903542,0.005211789098172549,13.980772809139513,0.0032303693091763753,13.616815044336093,0.0025689356866108962,-99.0,-99.0,0.941780350764029,0.006131723369290144,0.3639577648034198,0.004127313464665805,-99.0,-99.0,-99.0,-99.0
59576.1157997,14.92000214716388,0.005215534761925234,13.982824610708096,0.003207553131228042,13.634235803968318,0.002567128283733495,13.497227973087002,0.0024687182566020443,0.9371775364557831,0.006122924133328889,0.34858880673977843,0.004108350607579068,1.4227741740768778,0.00577030091791847,0.48559663762109473,0.004047587790293257
59576.4698818,15.060844845254405,0.005906065968482373,14.00563119900608,0.003631395099530768,13.622976614092638,0.0035992268034685964,13.437646646868485,0.004090527570815497,1.0552136462483244,0.006933155529263837,0.3826545849134426,0.00511287237780319,1.6231981983859196,0.007184290572608221,0.5679845521375952,0.005469867107754795
59576.5842374,15.084246672340397,0.005044881306146704,14.03522669727732,0.0031508708784066656,13.641094451708508,0.0027942544648592842,-99.0,-99.0,1.0490199750630769,0.005948009304422755,0.3941322455688123,0.0042113946985265155,-99.0,-99.0,-99.0,-99.0
59577.2135296,14.924577973175195,0.004091592956415152,13.935593121591829,0.0029662245574849297,13.594587478185476,0.002375289818436352,13.460719177807004,0.002208821726888855,0.9889848515833659,0.005053674014656342,0.3410056434063531,0.0038000644530052467,1.463858795368191,0.004649734007678541,0.47487394378482506,0.003698294410482071
